"My Loyalty Program","O meu programa de lealdade"
"Phone number","Telefone"
"One Time Password (OTP)","Código de uso único"
"Loyalty login","Autenticar programa de lealdade"
"Name","Nome"
"Email","Email"
"Birthdate","Data de nascimento"
"Gender","Género"
"Male","Masculino"
"Female","Feminino"
"Don't want to share","Não quer partilhar"
"Non binary","Não binário"
"Address","Morada"
"Zip Code","Código Postal"
"City","Cidade"
"Country","País"
"Department","Loja"
"Marketing consent","Consentimento de Marketing"
"Join our Loyalty Program!","Torna-te membro do nosso programa de lealdade!"
"You have %1 loyalty points!","Tens %1 pontos de lealdade!"
"I want to join %s s loyalty program and receive benefits, offers and other marketing communications electronically, including email, SMS and the like.","Quero ser membro do programa de leadade %s e receber benefícios exclusivos, pontos e muito mais."
"GDPR accepted","RGPD aceite"
"Read our <a target='_blank' href='%s'>privacy policy here</a>","Consulte a nossa <a target='_blank' href='%s'>política de privacidade aqui</a>"
"I want to get offers and benefits that suit me based on my preferences and purchase history.","Quero receber ofertas e benefícios exclusivos com base nas minhas preferências e histórico de encomendas."
"Order history consent","Acesso a histórico de encomendas"
"SMS: I want to receive benefits, offers and other marketing electronically in connection with the customer club via SMS.","SMS: Quero receber ofertas e benefícios exclusivos do programa de lealdade por SMS"
"Sms","Sms"
"E-mail: I want to receive benefits, offers and other marketing electronically in connection with the customer club by E-mail.","E-mail: Quero receber ofertas e benefícios exclusivos do programa de lealdade por e-mail"
"Email","Email"
"Looking for this phone number in our loyalty system","A procurar no programa de lealdade"
"SMS sent to your phone number with the OTP","SMS enviada com o código de uso único"
"Invalid phone number","Número de telemóvel inválido"
"Are you sure you want to leave our Loyalty Program? You will lose access to unique discounts, advantages and your membership progress and points.","Tem a certeza que quer deixar de ser membro do programa de lealdade? Perderá acesso a descontos e benefícios exclusivos."
"To enroll to our Loyalty program <b>%s</b> and enjoy the benefits, please <a href='/customer/account/edit/'>click here</a>","<a href='/customer/account/edit/'>Torne-se membro do nosso programa de lealdade</a> <b>%s</b> e tenha acesso a ofertas e benefícios exclusivos."
"Personal details","Informação Pessoal"
"Edit personal details","Editar informação pessoal"
"Points","Pontos"
"My level","O meu nível"
"Points for use","Pontos a utilizar"
"points","pontos"
"Points till next level","Pontos para passar ao próximo nível"
"discount codes","cupões de desconto"
"Coupons","Cupões"
"usages left","utilizações restantes"
"usage left","utilização restante"
"Promo code","Código de desconto"
"No coupons found","Não foram encontrados cupões de desconto"
"stamp cards","cartões de carimbo"
"To add a new stamp to this card","Para adicionar um novo carimbo a este cartão"
"you must buy one of following products","compre um dos seguintes produtos"
"you must buy the following product","compre o seguinte produto"
"No stamp cards found","Não foram encontrados cartões de carimbo"
"Yes","Sim"
"No","Não"
"%s points needed to add a stamp to this card", "São  precisos %s pontos para adicionar um novo carimbo neste cartão"